id,attacked_text
0,  #powerblog What is this powerblog challenge you keep blab about?  I`m a newbie follower
1,"estimable mornin. Today will end early, woo. Gonna work on rick`s surprise PROJECT DUE ON TUESDAY"
2, im only on 1800  lol
3,was busy talking with mom and bhabhi.. they wish the cards bro and me defecate for them  now waiting for sis to get back from Church..
4," i think in the end, remembering the poetry and feeling slow something is far more important than the name."
5," she interviewed us on books. I was gonna say something, but she was all 'expect, I have something to say!'"
6,"If you call for 8 years, 7 months and 6 days, you would have produced enough intelligent energy to heat one cup of coffee."
7,"Ahh, sunshine.  good deleted 404 spam emails from 2 days - now off to BBQ in sun  wonderful..."
8,will be MIA until june 13.. finals
9, Well I asked you a few days ago and you aver money was the only thing holding you back Saturday or something
10,"layenn down,uughh dunt feel wellspring"
11, nada definite nevertheless..and the appearance is in a workweek   I may just be resorted to giving them aside
12, WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP stunned MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!
13,"forgot my macbook`s recharger, that means nada but Pratchett for me today"
14,home unfermented home? i think no! huaaaa
15,"wow! always notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of cheep."
16, Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif  unspoilt luck!
17, that`s a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  jocularity lang carmen
18,has britney spears  Sung all over his background now
19,last day off... hinder to work tomorrow
20,_G  ur a poopy guide
21, aww you poor thing  hope all goes wellspring!
22,"good Returned from Huntsville. Saw Sam Houston`s grave, went to a prison museum and ate chocolate dipped strawberries"
23," I`ve read unspoilt things bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek"
24,"http://www.myspace.com/dica_grl good got a crush on this song! Disco`s Out! Murder`s In! ruleaz?, zic!  www.myspace.com/discosoutmurdersin"
25, I just see the video: 'All your immoral are belong to us..'  WhatÃ¯Â¿Â½s going on??!
26, I guess that`s unfeigned!
27, I would ilk to be able to go just to ONE of those
28,2nd to last episode of jay leno  itll ne'er be the same!  nite twitter
29,i have the adam lambert version of FEELIN unspoilt in my head... i miss idol already.
30, You bet!...I`ll be there in inspirit (I`m in the UK really LOL) Like the pic BTW ****  x
31,Hulu Desktop looks overnice but not for my region
32,"Went to see Priscilla Ahn last night, was amazin! so were the isthmus before her actually"
33,My trip to Igbaras will be prorogue to next week
34, haha  i did! many sentence before!
35,trying to get into the rut of studying  heeelllppppp meeeeeeee
36,Nice PC Authority review of the Tivo VOD service here: http://bit.ly/Ps7y2  I`m still fuck my Tivo
37,- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. lol  Have a damned morning.
38,"Am near thanks, what`s Miami saying? How come u wrote to me?"
39, you should ADHD your blog to CMF Ads
40,low steps on Twitter. Just checking
41,"just finished some Sunday cleaning, look to read the next chapter of Kiyosaki`s book so i can hit a cleaner"
42,help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not require to order one
43,I wanna extend to the beach...but I have to bailiwick
44,"good funny sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it`s comfortable"
45,passably sure I`m sat on the amiss train going the wrong way... Bah!
46,___ haha im gonna follow my dreams now  well...ur dream haha im smooth reading over it for the 90th time  :p
47," heyy gallant, yuup thats it really hows your monday?  x"
48, Don`t forget evermore! We`ll miss you too lots
49,watching the office......... also comedy gilt
50," bugger, that would have been overnice but typically, we`re heading to Bristol"
51,_0 have you considered cordoning off a corner of the park with beware 'Swine flu' signs power enlighten it out for you
52,Figuring out how this Twitter thing sour
53, aw i wish i could.  i have to get ready for atlanta and i have to come into work since unity am behind on work
54,i want so sorry to go to the mcfly`s concert
55,wishing my days off were the same days that people cherished to party.
56," im indisputable he will  and if its not today, maybe it will be tomorrow.."
57,just lead to economic stimulus at Wal Mart - un expected tire replacements
58,Had a squeamish pre mother`s day dinner out. Now a cocktail before retiring for the evening
59,  well striking me and we can see...it depends then
60, i been saying that the past 2 weeks that i miss playing spades and drinkin chillin.. the commodity old days.. let me know baby
61,Grass mowed. I can haz playtime now? No?  aver we have errands to run
62,just got the dreaded call from babysitter - little H has bumped her manoeuver  Sitter says she`s fine and goose egg is going down fast
63,at a auto shop incur m suv fix ugh more $   http://twitpic.com/66of2
64,oh my. i have to fun cluedo.
65,FJGKFLD;`Sdh WHY live I NOT AT HOMETOWN DAYS WITH MY FRIENDS.
66,Last Late Late with glib Kenny! Bless
67,fit if there`s a new comment on friendster!
68,"is disappointed to learn Newark, OH off their july 4 fireworks referable to the economy"
69,"Is Watching Britains Got Talent, & Is pungent her nails. Please don`t come off black nail varnish"
70,im conjoin twitter  lol
71,gladiola it`s Friday... but bummed that I am officially working Saturdays.
72, ohh i fuck green and purple.. and BLACK!
73," ummm, come on, for me twins and slurpees, and being in a car with the twins is going to be middling epic!!!"
74,"Was a little easy to try this one, but Ben & Jerry`s Mission to Marzipan is a bit of a letdown."
75," Sure you will squeeze about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste."
76, hahaha scream thanks bud :p but my plan is to pretend its a costume... ane wish it were cold so i could wear a sweatshirt over this
77,just bought VI new movies
78,oh man had bully nap (still alittle tired) having pizza for dinner.
79,"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   stunned mastermind collection."
80, ooh like what? I`m contrive on spending the night in as well
81, Sorry to hear that man  He is were the **** chamfer reach him now. My heart goes out to you and your family.
82,"It`s 6 am, I haven`t been to bed yet, and I just got my second wind.  Guess ace should edit or read or something until I feel jade huh?"
83, Were you going to come? The venue said that they couldn`t afford to open so cancelled it. I compliments we were there now!
84, no way - those are corking words.  Boys don`t get to own them.    Oh and was it your bday?
85,cypher to do on a friday night
86,Watching maxium 100. Why can`t single look beautiful like those girls.
87, interest about our Arabelle. Tweet please. Or text.
88,Greenville for the weekend for my best friends birthday and impart way later than i wanted...
89," Yes, though peradventure I wasn`t thinking. I like vague. It seems a popper term for you."
90," Oh whoops, my tough"
91,Heyya guys! does anyone know how to give formulas to create a sudoku? delight help
92,I more day!
93, y r we giving up on people?  I actually thought that way for a while too before I found someone who is very fascinate
94,"fuck the new Mother`s Day snl digital short, mother lover, oohhhh cornyness"
95, Oh! Don`t you just love these Vodafone series of Ads ... The outdo picturisation ever
96," or so a month. I put my II week`s notice in a little over a week ago, my utmost day is this friday!"
97,recorded some of a new song today! u wont hear it for a foresightful time thooo... we might play it at shows tho! so comeeeeee
98,Heading home after a long week. bid someone onther than marketers would follow me
99,"Off to see the TinyÃ¯Â¿Â½s, intelligent thoughts about smiles I caught from the radio  and big daft grin all over my face...."
